archivo;title;titulo
amaral\1997.html;1997;1997
amaral\500_vidas.html;500 vidas;500 vidas
amaral\alerta.html;Alerta;Alerta
amaral\al_final.html;Al final;Al final
amaral\antartida.html;Antártida;Antártida
amaral\biarritz.html;Biarritz;Biarritz
amaral\bien_alta_la_mirada.html;Bien alta la mirada;Bien alta la mirada
amaral\big_bang.html;Big Bang;Big Bang
amaral\botas_de_terciopelo.html;Botas de terciopelo;Botas de terciopelo
amaral\cabecita_loca.html;Cabecita loca;Cabecita loca
amaral\cara_a_cara.html;Cara a cara;Cara a cara
amaral\cazador.html;Cazador;Cazador
amaral\chatarra.html;Chatarra;Chatarra
amaral\como_hablar.html;Cómo hablar;Cómo hablar
amaral\como_un_martillo_en_la_pared.html;Como un martillo en la pared;Como un martillo en la pared
amaral\concorde.html;Concorde;Concorde
amaral\confiar_en_alguien.html;Confiar en alguien;Confiar en alguien
amaral\cuando_suba_la_marea.html;Cuando suba la marea;Cuando suba la marea
amaral\deprisa.html;Deprisa;Deprisa
amaral\de_carne_y_hueso.html;De carne y hueso;De carne y hueso
amaral\de_la_noche_a_la_manana.html;De la noche a la mañana;De la noche a la mañana
amaral\dias_de_verano.html;Días de verano;Días de verano
amaral\dile_a_la_rabia.html;Dile a la rabia;Dile a la rabia
amaral\doce_palabras.html;Doce palabras;Doce palabras
amaral\el_artista_del_alambre.html;El artista del alambre;El artista del alambre
amaral\el_blues_de_la_generacion_perdida.html;El blues de la generación perdida;El blues de la generación perdida
amaral\el_centro_de_mis_ojos.html;El centro de mis ojos;El centro de mis ojos
amaral\el_dia_de_ano_nuevo.html;El día de año nuevo;El día de año nuevo
amaral\el_mundo_al_reves.html;El mundo al revés;El mundo al revés
amaral\el_universo_sobre_mi.html;El universo sobre mí;El universo sobre mí
amaral\enamorada.html;Enamorada;Enamorada
amaral\entre_la_multitud.html;Entre la multitud;Entre la multitud
amaral\en_el_rio.html;En el río;En el río
amaral\en_el_tiempo_equivocado.html;En el tiempo equivocado;En el tiempo equivocado
amaral\en_solo_un_segundo.html;En sólo un segundo;En sólo un segundo
amaral\escapar.html;Escapar;Escapar
amaral\esperando_un_resplandor.html;***Esperando un resplandor;***Esperando un resplandor
amaral\esta_madrugada.html;Esta madrugada;Esta madrugada
amaral\esta_noche.html;Esta noche;Esta noche
amaral\estrella_de_mar.html;Estrella de mar;Estrella de mar
amaral\es_solo_una_cancion.html;Es sólo una canción;Es sólo una canción
amaral\gato_negro.html;Gato negro;Gato negro
amaral\habla.html;***Habla;***Habla
amaral\hacia_lo_salvaje.html;Hacia lo salvaje;Hacia lo salvaje
amaral\halconera.html;Halconera;Halconera
amaral\hoy_es_el_principio_del_final.html;***Hoy es el principio del final;***Hoy es el principio del final
amaral\juguetes_rotos.html;Juguetes rotos;Juguetes rotos
amaral\kamikaze.html;Kamikaze;Kamikaze
amaral\laberintos.html;Laberintos;Laberintos
amaral\las_chicas_de_mi_barrio.html;Las chicas de mi barrio;Las chicas de mi barrio
amaral\las_puertas_del_infierno.html;Las puertas del infierno;Las puertas del infierno
amaral\la_barrera_del_sonido.html;La barrera del sonido;La barrera del sonido
amaral\la_ciudad_maldita.html;La ciudad maldita;La ciudad maldita
amaral\la_niebla.html;La niebla;La niebla
amaral\llevame_muy_lejos.html;Llévame muy lejos;Llévame muy lejos
amaral\lluvia.html;Lluvia;Lluvia
amaral\lo_que_nos_mantiene_unidos.html;Lo que nos mantiene unidos;Lo que nos mantiene unidos
